Region,Item,Quantity,Units,Price,FDC ID,Safeway Link
"San Fracisco, CA: Popular Items",Hass Avocado ,6,oz,2,2609822,https://www.safeway.com/shop/product-details.184040105.html
,Tofu,14,oz,3.49,2294522,https://www.safeway.com/shop/product-details.960027626.html
,Lacinato Kale,1,lb,3.49,2495872,https://www.safeway.com/shop/product-details.960048412.html
,Oat Milk,64,oz,5.99,2257046,https://www.safeway.com/shop/product-details.960451820.html
,Flat Leaf Parsley,2,oz,1.79,170416,https://www.safeway.com/shop/product-details.184710357.html
,Maradol Papayas,1,lb,3.99,169926,https://www.safeway.com/shop/product-details.184150379.html
,Gemelli Pasta,7,oz,2.79,1124597,https://www.safeway.com/shop/product-details.970485171.html
"Bakersfield, CA: Popular Items",Roma Tomatoes,1,lb,3.49,1608947,https://www.safeway.com/shop/product-details.184570068.html
,Serrano Peppers,0.1,lb,0.75,2390015,https://www.safeway.com/shop/product-details.184490173.html
,Cilantro,2.8,oz,1.69,399147,https://www.safeway.com/shop/product-details.184410069.html
,Corn Tortillas,16,oz,2.99,1850647,https://www.safeway.com/shop/product-details.960034077.html
,Chorizo,9,oz,2.49,2341591,https://www.safeway.com/shop/product-details.960021864.html
,Pressed Juices,12,fl oz,5.99,2095092,https://www.safeway.com/shop/product-details.960483291.html
,Arugula,5,oz,3.99,2630019,https://www.safeway.com/shop/product-details.960032902.html
United States Overall:                       Popular Items,Apples,3,lb,4.99,1545857,https://www.safeway.com/shop/product-details.184020192.html
,Oranges,3,lb,6.99,578523,https://www.safeway.com/shop/product-details.960021862.html
,Bananas,1,lb,0.99,173945,https://www.safeway.com/shop/product-details.184700054.html
,Potatoes,5,lb,5.99,576920,https://www.safeway.com/shop/product-details.960143719.html
,Tomatoes (Vine Red),1,lb,3.99,170050,https://www.safeway.com/shop/product-details.184570092.html
,Milk,1,gallon,5.99,1909132,https://www.safeway.com/shop/product-details.136010121.html
,Cheese,8,oz,4.49,2679762,https://www.safeway.com/shop/product-details.137050358.html
,Chips (Lay's Original),8,oz,4.79,1635045,https://www.safeway.com/shop/product-details.960123883.html
,Bread,20,oz,5.29,1913550,https://www.safeway.com/shop/product-details.960155325.html
,Flour,5,lb,4.99,2671058,https://www.safeway.com/shop/product-details.117100059.html
,Chicken,2,lb,13.98,2090362,https://www.safeway.com/shop/product-details.970021223.html
,Ground Beef ,3,lb,20.97,1942314,https://www.safeway.com/shop/product-details.188100109.html
,Eggs,1.5,dozen,7.99,1663044,https://www.safeway.com/shop/product-details.960304348.html
,Onions,3,lb,3.99,2345315,https://www.safeway.com/shop/product-details.184450030.html