Region,Food,Quantity,Units,Price,FDC ID
"Bakersfield, CA: Popular Items",Roma Tomatoes,1,lb,1.49,1608947
,Serrano Peppers,0.1,lb,0.13,2390015
,Cilantro,2.8,oz,0.99,399147
,Corn Tortillas,16,oz,2.29,1850647
,Chorizo,9,oz,1.99,2341591
,Pressed Juices,12,oz,5.99,2095092
,Arugula,5,oz,3.49,2630019
United States Overall:                       Popular Items,Apples,3,lb,4.99,1545857
,Oranges,3,lb,5.99,578523
,Bananas,1,lb,0.89,173945
,Potatoes,5,lb,4.99,576920
,Tomatoes (Vine Red),1,lb,1.66,170050
,Milk,128,oz,4.99,1909132
,Cheese,8,oz,3.99,2679762
,Chips (Lay's Original),8,oz,4.79,1635045
,Bread,20,oz,4.99,1913550
,Flour,5,lb,3.29,2671058
,Chicken,2,lb,11.98,2090362
,Ground Beef ,3,lb,17.97,1942314
,Eggs,600,g,6.99,1663044
,Onions,3,lb,2.99,2345315