Item,Quantity,Units,Price,FDC
Hass Avocado ,6,oz,2,2609822
Tofu,14,oz,3.49,2294522
Lacinato Kale,1,lb,3.49,2495872
Oat Milk,64,oz,5.99,2257046
Flat Leaf Parsley,2,oz,1.79,170416
Maradol Papayas,1,lb,3.99,169926
Gemelli Pasta,7,oz,2.79,1124597
Roma Tomatoes,1,lb,3.49,1608947
Serrano Peppers,0.1,lb,0.75,2390015
Cilantro,2.8,oz,1.69,399147
Corn Tortillas,16,oz,2.99,1850647
Chorizo,9,oz,2.49,2341591
Pressed Juices,12,fl oz,5.99,2095092
Arugula,5,oz,3.99,2630019
Apples,3,lb,4.99,1545857
Oranges,3,lb,6.99,578523
Bananas,1,lb,0.99,173945
Potatoes,5,lb,5.99,576920
Tomatoes (Vine Red),1,lb,3.99,170050
Milk,1,gallon,5.99,1909132
Cheese,8,oz,4.49,2679762
Chips (Lay's Original),8,oz,4.79,1635045
Bread,20,oz,5.29,1913550
Flour,5,lb,4.99,2671058
Chicken,2,lb,13.98,2090362
Ground Beef ,3,lb,20.97,1942314
Eggs,1.5,dozen,7.99,1663044
Onions,3,lb,3.99,2345315